Date		| Time		 | Description												   | Vendor				   |   Amount
2025-04-18  | 13:56:30   | Refund: "Customer allergic to irony (Death Note)"           | Jarl Karen of Whiterun|    -45.00
2025-04-16  | 12:12:59   | Sold: "My Hero Academia: All Might figurine"                | Online Sale           |     28.00
2025-04-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-03-14  | 11:06:19   | Sold: "Invader Zim 'Doomsday' hoodie"                       | Local Sale            |     45.00
2025-03-12  | 10:22:07   | Bought: "Blink-182 beanie (emo tax applied)"                | Blink182 Merch        |    -12.00
2025-03-10  | 09:31:42   | Sold: "Dragon Ball Z Scouter (power level uncertain)"       | Local Sale            |     21.00
2025-03-08  | 08:49:53   | Bought: "Marvel collectible pins (bulk order)"              | Avengers Merch        |   -280.00
2025-03-06  | 07:55:20   | Sold: "Invader Zim Hoodie (screams randomly)"               | Online Sale           |     22.00
2025-03-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2025-02-04  | 06:34:11   | Sold: "Rick & Morty ‘Wubba Lubba Dub Dub’ Socks"            | Online Sale           |     11.00
2025-02-02  | 05:27:45   | Paid: "Custom store banner: ‘Where Weird Wins’"             | Store Purchase        |   -150.00
2025-02-01  | 12:30:01   | Rent Paid                                                   | Landlord              |  -1500.00
2025-01-28  | 12:22:19   | Bought: "Naruto Kunai replicas (dangerous!)"                | Naruto Merch          |    -80.00
2025-01-25  | 10:13:44   | Sold: "Green Day: Basket Case cassette (used)"              | Local Sale            |     14.00
2025-01-22  | 15:55:32   | Refund: "Deadpool apron set — too spicy for customers"      | False Prophet Phil    |    -18.00
2025-01-20  | 14:48:10   | Sold: "Dr. Strange Cloak of Levitation (replica)"           | Local Sale            |     40.00
2025-01-01  | 10:13:46   | Rent Paid                                                   | Landlord              |  -1500.00
2024-12-31  | 03:35:00   | Sold: Avatar: The Art of the Animated Series (Hardcover)    | Online Sale           |     34.95
2024-12-29  | 01:20:00   | Refund: A Tribe Called Quest Patch Set                      | Wild Karen            |     -5.50
2024-12-18  | 11:22:33   | Sold: "Marvel Comic Con Badge Holder (worn proudly)"        | Online Sale           |      8.00
2024-12-17  | 02:05:00   | Sold: Dragon Ball Z: Vegeta Pop! Vinyl                      | Online Sale           |     14.99
2024-12-15  | 16:30:24   | Bought: "Invader Zim action figures (batch order)"          | Invader Zim Merch     |   -180.00
2024-12-12  | 13:05:44   | Sold: "Funko Pop: Deku’s Power Punch Pose"                  | Online Sale           |     30.00
2024-12-10  | 11:50:22   | Sold: "Rick & Morty Mr. Meeseeks Box                        | Online Sale           |     40.00
2024-12-08  | 10:33:18   | Bought: "Marvel Captain America shield keychains (bulk)"    | Avengers Merch        |   -120.00
2024-12-05  | 09:18:45   | Sold: "Blink-182 ‘Feeling This’ limited edition vinyl"      | Local Sale            |     55.00
2024-12-03  | 10:00:53   | Sold: Invader Zim "Doom Song" Mug                           | Local Sale            |      8.49
2024-12-03  | 08:05:12   | Refund: "One Punch Man bald cap (slipped off mid-punch)"    | Karen the Unstoppable |    -15.00
2024-12-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-11-28  | 06:20:09   | Sold: Avatar: Aang Airbending Scroll Replica                | Online Sale           |     19.99
2024-11-15  | 04:44:26   | Sold: A Tribe Called Quest Tour Poster Reprint (1996)       | Local Sale            |     11.75
2024-11-01  | 12:30:01   | Rent Paid                                                   | Landlord              |  -1500.00
2024-11-01  | 07:50:33   | Sold: "Naruto Shadow Clone Cookie Tin"                      | Online Sale           |     22.00
2024-10-22  | 03:50:26   | Sold: Dragon Ball Z Blind Box Mini-Figures x2               | Local Sale            |     13.00
2024-10-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-09-10  | 02:45:42   | Refund: Invader Zim “Zim vs Dib” Mini Figure Set            | Wild Karen            |    -17.95
2024-09-01  | 12:30:22   | Bought: Avatar the Last Airbender: Katara Funko Pop         | Funko Pop             |    -12.99
2024-09-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-08-19  | 11:17:12   | Sold: A Tribe Called Quest: Midnight Marauders Poster       | Local Sale            |      9.99
2024-08-03  | 01:30:11   | Sold: Dragon Ball Z: Goku LED Lamp                          | Local Sale            |     23.99
2024-08-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-07-28  | 10:05:23   | Sold: Invader Zim Collector's Button Set                    | Local Sale            |      6.50
2024-07-14  | 05:58:43   | Bought: Avatar: Toph Beifong Metal Earth Kit                | ATLA Merch            |    -14.75
2024-07-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-06-09  | 03:20:25   | Refund: A Tribe Called Quest Cassette Replica               | Wild Karen            |     -7.95
2024-06-09  | 03:20:23   | Refund: ATCQ Enamel Pin Set (limited run)                   | Chaos Mage Ken        |    -12.00
2024-06-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-05-13  | 12:47:36   | Sold: Dragon Ball Z: Frieza Saga Manga Set (3 volumes)      | Local Sale            |     29.99
2024-05-02  | 04:12:16   | Sold: Invader Zim Mini Artbook (signed copy)                | Local Sale            |     21.00
2024-05-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-04-07  | 02:30:37   | Bought: Appa air freshener (vanilla scent)                  | ATLA Merch            |     -4.00
2024-04-07  | 02:30:33   | Sold: Avatar The Last Airbender Vol. 2 (The Promise)        | Local Sale            |     10.99
2024-04-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-03-18  | 11:10:15   | Bought: A Tribe Called Quest Logo Tee (XL)                  | ATCQ Merch            |    -18.50
2024-03-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-02-03  | 01:45:50   | Sold: Dragon Ball Z Vol. 1 (Collector's Edition)            | Local Sale            |     16.99
2024-02-03  | 01:45:15   | Sold: Dragon Ball Z: Saiyan Saga Poster                     | Local Sale            |      7.25
2024-02-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
2024-01-12  | 10:34:54   | Bought: Invader Zim Gir plush keychain                      | Invader Zim Merch     |     -9.50
2024-01-12  | 10:34:26   | Refund: Invader Zim #1 (standard cover)                     | Final Boss Karen      |     -4.99
2024-01-01  | 11:15:19   | Rent Paid                                                   | Landlord              |  -1500.00
